company_raw,company_name,is_staffing,company_id
"Alvarez & Marsal Disputes & Investigations, LLC",Alvarez & Marsal,True,139
Easterseals New Hampshire,Easter Seals Nh,False,140
Integrated Intel Solutions,Integrated Intel Solutions,False,141
InfoPeople Corp,InfoPeople,False,142
MMD Services,Mmd Services,True,143
"LLOYD, INC",Lloyd&Co.,False,144
The Front Climbing Club,The Front Climbing Club,False,145
Innova solutions,Innova Solutions USA,False,146
Indus Valley,Indus Valley,False,147
Woodstock Club,Woodstock Club,False,148
Tempus,TeMPus,True,149
"PEAK Technical Services, Inc.",PEAK Technical,True,150
"Trulieve Holdings, Inc",Trulieve Cannabis Corp,False,151
DTE Energy,DTE Energy,False,152
Truveta,Truveta,False,153
"ERP Recruiting, LLC",Erp Recruiting,True,154
Intellipro Group Inc.,Intellipro,False,155
Antech Diagnostics,Antech Diagnostics,False,156
Quantis.ai,Unclassified,False,157
Yudrio Inc,Yudrio,False,158
Glenbard West High School,Glenbard West High School,False,159
Vaco,Vaco,True,160
TheCollegeBoard,The College Board,False,161
"Brown Construction Services, Inc.",Brown Construction Services,False,162
Nastech Solutions Inc,Nastech Solutions,False,163
"State of Maine, Bureau of Human Resources",State Of Maine,False,164
Logix Shapers,Logix Shapers Offshore Services Pvt. Ltd.,False,165
Gafsgi,Unclassified,False,166
Unknown,Adecco,True,167
Fanatics Inc,Fanatics,False,168
Ogilvy,Ogilvy & Mather,False,169
QSS,Qss,False,170
"Thinking Minds, Inc.",Thinking Minds,False,171
American Express Global Business Travel,American Express,False,172
ClaimReturn LLC,Claimreturn,False,173
"IT Associates, Inc.",It Associates Incorporated,False,174
Cyber Space Technologies LLC,Cyber Space Technologies,True,175
"Strategic Education, Inc.",Strayer Education,False,176
CDW LLC,CDW,False,177
"ESL Power Systems, Inc.",Esl Power Systems,False,178
"TSR Consulting Services, Inc",Tsr Consulting Services,False,179
Pacs,Pacs Agency,False,180
Henry Ford Health System,Henry Ford Health System,False,181
Photon Interactive UK Limited,Photon Interactive Uk Limited,False,182
S2SSoft,S2Ssoft,False,183
Turn Biotechnologies,Turn Biotechnologies,False,184
Texas Capital Bank,Texas Capital Bank,False,185
steampunk,Steampunk,False,186
Inkcups,Inkcups Corp,False,187
Collabera,Collabera,True,188
Simplify Compliance,Simplify Compliance,False,189
PepsiCo Corp,PepsiCo,False,190
Main Line Health,Main Line Health,False,191
Marshall Retail Group,Marshall Retail Group,False,192
The Education Trust - West,The Education Trust-West,False,193
Findem,Findem,True,194
Green Thumb Industries,Green Thumb Industries,False,195
DCH Health System,DCH Health System,False,196
CIVILIAN COMPLAINT REVIEW BD,Unclassified,False,197
Council of thea Inspectors General on Integrity and Efficiency,Council Of The Inspectors General On Integrity And Efficiency,False,198
Apria Healthcare LLC,Apria Healthcare,False,199
Advantage,Advantage,False,200
SPA,Cdd Spa,False,201
National Interstate Corporation,National Interstate Corporation,False,202
TEACHER RETIREMENT SYSTEM,State Of Texas,False,203
Alis Software Llc,Alis Software,False,204
KBR Inc,KBR,False,205
Syracuse Glass Company,Syracuse Glass Company,False,206
Mount Holyoke College,Mount Holyoke College,False,207
Patreon,Patreon,False,208
Premier Property Management,Premier Property Management Company S.R.L.,False,209
"TeamBradley, Inc",Team Bradley,False,210
Hillsoft Business Solutions LLC,Hillsoft Business Solutions,False,211
Dassault SystÃ¨mes,Dassault SystÃ¨mes,False,212
Thruway Authority,Thruway Authority,False,213
Philip Morris International Inc.,Philip Morris International,False,214
Aucta Pharmaceuticals Inc.,Aucta Pharmaceuticals,False,215
US National Science Foundation,Unclassified,False,216
Dawar Consulting,Dawar Consulting,False,217
US Animal and Plant Health Inspection Service,United States Department of Agriculture,False,218
Munich Re Services,Unclassified,False,219
Anchor QEA,Anchor Qea,False,220
Bravura Information Technology Systems Inc,Bravura Information Technology Systems,False,221
"TX Reliability Entity, Inc",Unclassified,False,222
"Techclub, Inc",Techclub,False,223
Uptime USA,Uptime USA,False,224
Zurich North America,Zurich Insurance,False,225
Cardea Services,Cardea Services,False,226
Nature's Sunshine Products,Nature's Sunshine Products,False,227
Orhan Yankin LLC,Unclassified,False,228
Teceze Ltd,Teceze LTD,False,229
Ramboll US Corporation,Ramboll,False,230
St. Lukeâ€™s Sacred Heart Campus,ST. LUKES's HOSPITAL & HEALTH NETWORK,False,231
PVH Corp.,PVH,False,232
Infinite Therapy Services (Hi-5 ABA),Unclassified,False,233
WorldStrides,Worldstrides,False,234
Blue Star Partners LLC,Blue Star Partners,False,235
"INTELLIDYNE, LLC",Intellidyne,False,236
Kelly,Kelly Services,True,237
First-Tek Inc,First Tek,False,238
Diaconia LLC,Diaconia,False,239
Los Angeles Homeless Services Authority,Los Angeles Homeless Services Authority,False,240
Red Cedar Consultancy LLC,Red Cedar Consultancy,False,241
Tek Inspirations LLC,Tek Inspirations,False,242
Geopaqlogic Staffing,Geopaq Logic,True,243
Illinois Fence Company,Illinois Fence Company,False,244
Seine LLC,Seine Agency,False,245
BRMi,Brmi,False,246
Baxter,Baxter International,False,247
TriosysIT Inc.,Triosysit,False,248
FXI,Fxi,False,249
GAP Solutions Inc.,System One Holdings,True,250
"Optum, Inc",Optum,False,251
Infinite Computer Solutions,Infinite Computer Solutions,False,252
CFA Institute,Cfa Institute,False,253
Seneca Holdings,Seneca Holdings,False,254
K Anand Corporation,KAnand,False,255
"Cass Information Systems, Inc.",Cass Information Systems,False,256
Metasys Technologies,Metasys Technologies,False,257
Estaffing Inc,Estaffing,True,258
SBM Hospitality,Sbm Hospitality,False,259
ERPMark Inc,Erpmark,False,260
Cybotic System,Unclassified,False,261
University of the Incarnate Word,University of the Incarnate Word,False,262
Venatore Llc,VenatÃ´re,False,263
iCloudNow,Icloudnow,False,264
VINCI Energies,Vinci Energies,False,265
Swarky Solutions,Swarky Solutions,False,266
Abt Global,Abt Global,False,267
"First Databank, Inc.",First Databank (Fdb),False,268
Apptrics LLC,Apptrics,False,269
Samaritan Health Services,Samaritan Health Services,False,270
Amazon.com Services LLC - A57,Unclassified,False,271
Rush Enterprises,Rush Enterprises,False,272
Autodesk Inc.,Autodesk,False,273
"JBS Carriers, Inc.",JBS Usa,False,274
SOLANO COMMUNITY COLLEGE,Solano Community College,False,275
BECU -,Boeing,False,276
PTS Advance,Pts Advance,True,277
"Perficient, Inc",Perficient,False,278
Sincera Consulting,Sincera Consulting,False,279
KLATencor Corporation,KLA,False,280
BMI,Bmi,False,281
Renegade Group LLC,Renegade Group,False,282
WEOKIE Federal Credit Union,Weokie Federal Credit Union,False,283
U.S. Bank,US Bank,False,284
Western Nebraska Community College,Western Nebraska Community College,False,285
Heartland Payment Systems,Heartland Payment Systems,False,286
UH Parma Medical Center,University Hospitals,False,287
"Ascella Technologies, Inc.",Ascella Technologies,False,288
Ziegler Inc.,Ziegler,False,289
Proit-inc,Proit,False,290
"Cowlitz County, WA","Cowlitz County, Wa",False,291
Tandigm Health LLC,Tandigm Health,False,292
Gridiron IT,Grid Iron IT,True,293
Verst Group Logistics Inc,Verst Group Logistics,False,294
"RWE Clean Energy, LLC",Unclassified,False,295
Pwc,PricewaterhouseCoopers,False,296
E-CARGO SOLUTIONS INC.,Unclassified,False,297
"Akima, LLC",NANA Regional Corporation,False,298
Infrahire,Infrahire,False,299
Brown Group Companies,Unclassified,False,300
SLP Alliance Trade Services,Unclassified,False,301
Anchorage Digital,Anchorage Digital,False,302
Greenville County Schools,Greenville County Schools,False,303
Sargento,Sargento,False,304
"Diversified Waterscapes, Inc",Diversified Waterscapes,False,305
POWDER RIVER INDUSTRIES LLC,Powder River Industries,False,306
CMi,Cmi Agency,False,307
Port Authority of New York and New Jersey,Port Authority of New York and New Jersey,False,308
Billd,Billd,False,309
"Open Door Unlimited, Inc.",Open Door Unlimited,True,310
"Medcare Staffing, Inc.","MedCare Staffing, Inc",True,311
Xplor Education,Xplor Education,False,312
Sonaca North America,Sonaca North America,False,313
"Direct Supply, Inc.",Direct Supply,False,314
"AJL Atlanta Journal Constitution, LLC",Unclassified,False,315
"Galen Healthcare Solutions, Inc",Galen Healthcare Solutions,False,316
ShoreWise Consulting,Shorewise Consulting,False,317
Alcatel-Lucent,Alcatel-Lucent,False,318
"Learjet, Inc Div. of Bombardier Aerospace*",Bombardier,False,319
Black & Vech,Black & Veatch,False,320
Brinks,Brinks,False,321
"American Tire Distributors, Inc.",American Tire Distributors,False,322
MANN+HUMMEL,Mann+Hummel,False,323
Calabrio,Calabrio,False,324
Western Kentucky University,Western Kentucky University,False,325
Webconnex LLC,Webconnex,False,326
University Hospital New Jersey,Unclassified,False,327
Wells Fargo,Wells Fargo,False,328
LH/GM,Unclassified,False,329
Protective Life Corporation,Protective Life,False,330
"Motion Recruitment Partners, LLC",Motion Recruitment,True,331
Emprise Bank (Circa),Emprise Bank,False,332
"Rockline Industries, Inc.",Rockline Industries,False,333
Total Quality Logistics (TQL),Total Quality Logistics,False,334
Arrow Workforce Solutions,Alimentation A D R Inc,False,335
Agoda,Agoda,False,336
Laiba Technologies LLC,Laiba Technologies,False,337
Soleo Health Inc,Soleo Health,False,338
"Save the Children Federation, Inc.",Save The Children,False,339
"Jean Martin, Inc",Jean Martin,False,340
L&T Technology Services Ltd.,Larsen & Toubro,True,341
HL Solutions LLC,Hl Solutions,False,342
"Presidio, Inc.",Presidio,False,343
Tradeweb Markets LLC,Tradeweb Markets,False,344
ITOrizon,Itorizon,False,345
e-business international,E Business Corp,False,346
Outlier,Outlier,False,347
Valve and Meter,Valve + Meter,False,348
Decision Minds,Decision Minds,False,349
Ledger Investing,Ledger Investing,False,350
Mission Lane,Mission Lane,False,351
Fidelity &amp; Guaranty Life Business Services,Fidelity & Guaranty Life Business Services,False,352
Auria Space,Unclassified,False,353
Riskonnect,Riskonnect,False,354
BioPhase,Biophase,False,355
001 The P&amp;G Company,Unclassified,False,356
National Life Group,National Life,False,357
Solution Drive LLC,Solution Drive Ltd,False,358
STEP BY STEP,Step By Step,False,359
Synovus Financial Corp,Synovus,False,360
Activ8 Recruitment and Solutions,Activ8 Recruitment & Solutions,True,361
"ONX, Inc.",Onx,False,362
Second Harvest Food Bank of Orange County,Second Harvest Food Bank,False,363
Inmar,Inmar,False,364
Stanford Health Care Tri-Valley,Unclassified,False,365
Acrisure Innovation,"Acrisure, LLC",False,366
Synapse Tech Services Inc,Synapse Tech Services,False,367
HemaSource,Hemasource,False,368
Cardinal Data Group,Unclassified,False,369
PRIME CONSULTING INC,Prime Consulting International,False,370
Keystone Management,Keystone Management Company,False,371
"CESUSA, INC.",CES LIMITED,False,372
"CPM Holdings, Inc.",Cpm Holdings,False,373
Univision communications inc,Univision Communications,False,374
PACCAR Inc,Paccar,False,375
USA - Lightspeed LLC,Unclassified,False,376
KEMET Electronics Corporation,Kemet Electronics Corporation,False,377
Astec Industries,Astec Industries,False,378
FORTIRA INC.,Fortira Inc,False,379
US Library of Congress,United States Congress,False,380
Convey Health Solutions,Convey Health Solutions,False,381
Flowserve,Flowserve,False,382
Regal Temporary Services,Regal Temporary Services,True,383
Synechron Inc.,Synechron,False,384
Toyota Financial Services,Toyota Motors,False,385
Marsh & McLennan Companies,Marsh McLennan,False,386
"Client Resources, Inc.",Client Resources,True,387
"Smithfield Foods, Inc",Smithfield Foods,False,388
SC INTERNATIONAL LTD,SC Casablanca,False,389
Holland &amp; Knight LLP,Holland & Knight Llp,False,390
"Advisors Asset Management, Inc.",Advisors Asset Management,False,391
Kaizen Approach,Kaizen Approach,False,392
"York Solutions, LLC",York Solutions,False,393
Childrens Hospital of The Kings Daughters,Children's Hospital Of The King's Daughters,False,394
Sweetwater Sound,Sweetwater Sound,False,395
Warrior Insurance Network,Warrior Insurance Network,False,396
Edison Systems,Edison Systems,False,397
Syncreon,Syncreon,False,398
Hbglobalinc,Unclassified,False,399
Infoville Inc,Infoville,False,400
Department of Health Care Access and Information,Unclassified,False,401
Russell Stover,Russell Stover,False,402
Rippling People Center Inc.,Unclassified,False,403
Kroger,Kroger,False,404
Four Squared Solutions,Four Squared Solutions,False,405
T. Howard Foundation,T. Howard Foundation,False,406
Clarity Salt,Unclassified,False,407
My Office Apps Inc,My Office Apps,False,408
North Atlantic States Carpenters Benefit Funds (NASCBF),Unclassified,False,409
Clinton Community College,Clinton Community College,False,410
CAPCO,Capco,False,411
St. Joseph School District,St. Joseph School District,False,412
Zyxware Technologies,Zyxware Technologies,False,413
WarnerMedia,Warnermedia,False,414
"Pyramid Technology Solutions, Inc.",Pyramid Technology Solutions,False,415
Yoh - A Day & Zimmerman Company,Yoh Services,True,416
"UL, LLC",UL Solutions,False,417
Newegg Inc.,Newegg,False,418
Insulet,Insulet Corporation,False,419
KNIGHTS OF COLUMBUS,Knights of Columbus,False,420
Avera,Avera Health,True,421
Buckle Inc,Buckle,False,422
General Dynamics Corporation,General Dynamics,False,423
University of Pittsburgh,University of Pittsburgh,False,424
Ingram Micro,Ingram Micro,False,425
A&E Angels Home Care Services LLC,Unclassified,False,426
Parallon,HCA Healthcare,False,427
EAG Services,Eag Services,False,428
"Eastern Research Group, Inc.","Eastern Research Group, Inc. (Erg)",False,429
M2 Strategy,M2 Strategy,False,430
"Penske Truck Leasing Co., L.P.",Penske Automotive Group,False,431
"Miracle Software Systems, Inc.",Miracle Software Systems,False,432
"Commerce Bancshares, Inc",Commerce Bank,False,433
Zoox,Zoox,False,434
PepsiCo,PepsiCo,False,435
CALNET INC.,Calnet,True,436
IKCON TECHNOLOGIES Inc.,Ikcon Technologies,False,437
Neighborhood Family Practice,Neighborhood Family Practice,False,438
URBN,Urban Outfitters,False,439
Sirtex,Sirtex Co.Ltd,False,440
IT Concepts Inc,It Concepts,False,441
Omada Health,Omada Health,False,442
Universal Orlando Resort,Universal Orlando Resort,False,443
Bowhead,Bowhead,False,444
SLB,Slb,False,445
Columbia College of Chicago,Columbia College,False,446
TEXAS DEPARTMENT OF FAMILY AND PROTECTIVE SERVICES,State Of Texas,False,447
Dutech Systems,Dutech Systems,False,448
"Geosyntec Consultants, Inc.",Geosyntec Consultants,False,449
Trinity Health - IHA,Trinity Health,False,450
Universal Orlando,Universal Orlando,False,451
The Rector & Visitors of the University of Virginia,The Rector & Visitors Of The University Of Virginia,False,452
integrasoft,Integrasoft,False,453
Delve,Delve,False,454
Nascent Global,Nascent Global,False,455
Owens &amp; Minor Medical Inc.,Owens & Minor Medical,False,456
Tri-Force Consulting Services,Tri-Force Consulting Services,False,457
AMBE Engineering LLC,Ambe Engineering,False,458
QUARTZ HEALTH,Quartz Health Solutions,False,459
Randstad Us,Randstad,True,460
Motion Industries,NAPA Auto Parts,False,461
"Choice Hotels International, Inc.",Choice Hotels,False,462
Rogers Behavioral Health,Rogers Behavioral Health,False,463
NMG Technology Services,Johnson & Johnson,False,464
"PRISM, INC.",PRISM+,False,465
Clarins,Clarins,False,466
University of Cincinnati,University of Cincinnati,False,467
"MAGELLAN Health Services, Inc",Magellan Health Services,False,468
Salem Hospital,Salem Hospital,False,469
Pacific Gas and Electric.,PG&E,False,470
"Not Available Sioux Falls, SD",Sysco,False,471
Mandan Hidatsa & Arikara Nation,Mandan Hidatsa And Arikara Nation Cultural Education Foundation,False,472
"InnovAccer, Inc.",Innovaccer,False,473
Lake County Sheriff Department,Lake County Sheriff Department,False,474
IV.AI,Iv.Ai,False,475
UDR Consulting Inc,Udr Consulting,False,476
DAWSON,Dawson,True,477
NFP,Nfp,False,478
Talostar Consulting,Unclassified,False,479
Nuvento LLC,Nuvento,False,480
Gratiture Solutions,Unclassified,False,481
University of California Office of the President,University of California,False,482
Sentinel Systems Corp.,Sentinel Systems,False,483
Elite Quests LLC,Elite Quests,False,484
Bestpass - Fleetworthy,Unclassified,False,485
Meraki7 Inc,Cisco,False,486
JFS and Associates,Jfs & Associates,False,487
"Vivint, Inc.",Vivint,False,488
Agile Global Solutions,Agile Global Solutions,False,489
EisnerAmper,Eisneramper Llp,False,490
pollomasterla@menutech.xyz,Unclassified,False,491
Allied Resources Technical Consultants,Allied Resources Technical Consultants,False,492
Department of Administration,Department Of Administration,False,493
Housing Authority of Kansas City,Housing Authority Of Kansas City,False,494
GuruNanda,Gurunanda,False,495
Medical College of Wisconsin,The Medical College Of Wisconsin,False,496
Oatey,Oatey Company,False,497
MMC Corporate,Marsh McLennan,False,498
Algert Global,Algert Global,False,499
Crystal Management,Crystal Management,False,500
Global Information Technology,Global Information Technology,False,501
Hollstadt & Associates Inc,Hollstadt And Associates,False,502
Community Solutions,Community Solutions,False,503
Concordia Plans,Unclassified,False,504
Backbase,Backbase,False,505
LIMRA AND LOMA,Ll Global,False,506
Lipari Foods,Lipari Foods,False,507
Hansell Tierney,Hansell Tierney,True,508
Xpress Boats,Xpress Boats,False,509
ClientSolv,Clientsolv,False,510
Zodiac Solutions,Zodiac Solutions,False,511
Parsons Corporation,Parsons,False,512
NavitsPartners,NavitsPartners,False,513
Estuate Inc.,Estuate,False,514
TEKsystems,TEKsystems,False,515
William Everett,William Everett,False,516
ManTech,ManTech,False,517
Hub International Limited,Hub International,False,518
Dana-Farber Cancer Institute,Dana-Farber Cancer Institute,False,519
Computer Data Concepts,Computer Data Concepts,False,520
"Comprobase, Inc.",Comprobase,False,521
"TARGET BRANDS, INC.",Target,False,522
Federated Hermes Inc,Federated Hermes,False,523
Rayven IT Solutions,Rayven It Solutions,False,524
Adidas,adidas,False,525
AccruePartners,AccruePartners,True,526
Unitek College,Unitek College,False,527
"V.L.S. Systems, Inc",V.L.S. Systems,False,528
ENSCO,ENSCO,False,529
Maximum Cloud Solutions LLC,Unclassified,False,530
TGI Office Automation,Tgi Office Automation,False,531
Donato Technologies Inc,Donato Technologies,False,532
The Michael J. Fox Foundation for Parkinson's Research,The Michael J. Fox Foundation For Parkinson's Research,False,533
Alice L. Walton School of Medicine,Unclassified,False,534
Board of Equalization,Board Of Equalization,False,535
Simbiosys,Simbiosys,False,536
Zaspar Technologies,Zaspar Technologies,False,537
Amplitude,Amplitude,False,538
spinnakersca,Unclassified,False,539
Ashford,Ashford.Com,False,540
SoCalGas,SoCalGas,False,541
Keanesoft,Keanesoft,False,542
Plains,Plains Ag,False,543
FullSteam,Full Steam,False,544
For Our Future Action Fund,For Our Future Action Fund,False,545
Emergys,Emergys Corporation,False,546
Minneapolis Institute of Art,Minneapolis Institute Of Art,False,547
Vantage West Credit Union,Vantage West Credit Union,False,548
Eastern Bank Corporation,Eastern Bank,False,549
InOrbit Enterprise,Unclassified,False,550
"Aptino, Inc.",Aptino,False,551
Global Partners,Global Partners,False,552
(1137) Protein Sciences Corp,Protein Sciences Corporation,False,553
Janney Montgomery Scott LLC,Janney Montgomery Scott,False,554
John Carroll University,John Carroll University,False,555
Metropolitan Police Department,Metropolitan Police Department,False,556
Indian Hills Community College,Indian Hills Community College,False,557
"Health Research, Inc",Health Research,False,558
SPG Consulting LLC,Spg Consulting,False,559
Tarzana Treatment Center,Tarzana Treatment Center,False,560
ITS - Integrated Talent Strategies,Integrated Talent Strategies,True,561
Moda Health,Moda Health,False,562
Careers at Drata,Drata Inc,False,563
Visam Technologies,Visam Technologies,False,564
"Fitch Ratings, Inc.",Fitch Ratings,False,565
"eTeam, Inc.",eTeam Inc,True,566
IronArch Technology,Ironarch Technology,False,567
A&A Search Staffing,A&a Search Staffing,True,568
Best Buy,Best Buy,False,569
MIGSO-PCUBED,Pcubed,True,570
Greater Miami Jewish Federation,Greater Miami Jewish Federation,False,571
Vedasoft Inc,Vedasoft,False,572
American Vassal Inc,American Vassal,False,573
Procentrix Inc.,Procentrix,False,574
Alzheimer''s Association,Alzheimer's Association,False,575
SCG SOLUTIONS,Scg Solutions(Thailand) Ltd.,False,576
Pure Beauty Farms Inc,Pure Beauty Farms,False,577
Soft Tech Consulting,Soft Tech Consulting,False,578
The Maryland-National Capital Park and Planning Commission,The Maryland National Capital Park & Planning Commission,False,579
Tindall Corporation,Tindall Corporation,False,580
"Jefferson - Northeast Philadelphia, PA",Thomas Jefferson University,False,581
Union Settlement Association,Union Settlement Association,False,582
"Ellis Island Casino, Hotel & Brewery and Village Pub",Unclassified,False,583
"Hackbright Academy, Inc",Hackbright Academy,False,584
Radiant company,Radiant,False,585
Eurofins,Eurofins,False,586
Credit One Bank,Credit One Bank,False,587
Sallie Mae Bank,Sallie Mae Bank,False,588
Ford Motor Company,Ford,False,589
State of Michigan - Department of Treasury,State of Michigan,False,590
(ISC)2,Unclassified,False,591
Acuity Eye Group,Acuity Eye Group,False,592
Desert Oasis Healthcare,Desert Oasis Healthcare,False,593
New Leader Manufacturing,New Leader Manufacturing,False,594
MTK Technologies LLC,Mtk Technologies,False,595
"Wyndham Vacation Ownership, Inc.",Wyndham Hotels & Resorts,False,596
"SOAL Technologies, LLC.","Soal Technologies, Llc.",True,597
Jabil Inc.,Jabil,False,598
Kaiser Permanente â€“ Southern California Permanente Medical Group,Kaiser Permanente,False,599
ADAMH Board of Franklin County,Adamh Board Of Franklin County,False,600
Vontier,Vontier,False,601
"HMA Group Holdings, LLC.",Hma Group Holdings,False,602
Dizer Corp,Dizer Corp,False,603
"Software Technology, Inc.",Software Technology,False,604
Ennsee Technologies,Ennsee Technologies,False,605
"DATAMAXIS, Inc",Datamaxis LTD,False,606
Genius Minds LLC,Genius Minds,False,607
Qlogic LLC New York,Unclassified,False,608
Koninklijke Philips N.V,Koninklijke Philips N.V,False,609
EPITEC,Epitec,True,610
Massachusetts Institute of Technology,Massachusetts Institute of Technology,False,611
